ananas	ананас
babička	бабушка
barva	цвет
bobule	ягода
brambory	картофель
bratr	брат
bratranec	двоюродный брат
broskev	персик
brzy	ранo
buchta	булочка
byt	квартира
centrum	центр
čeština	чешский
chlapec	мальчик
chléb	хлеб
chodba	коридор
cibule	лук (репчатый)
církev	церковь
citron	лимон
člověk	человек
cukr	сахар
dcera	дочь
dědeček	дед
děti	дети
dívka	девочка
dveře	дверь
džem	варенье
hodiny	часы
hora	гора
host	гость
hotel	гостиница
hotovo	сделано, готово
houba	гриб
hrách	горох
hrozny	виноград
hruška	груша
inženýr	инженер
jablko	яблоко
jahoda	клубника
jak	как
jeho	его
kabát	пальто
kam	куда
kaše	каша
klíč	ключ
klobása	колбаса
klobouk	шляпа
kočka	кошка
koláč	пирог
koupelna	ванная
křižovatka	перекрёсток
kuchyně	кухня
květen	май
láhev	бутылка
lednička	холодильник
les	лес
letadlo	самолет
ložnice	спальня
lžíce	ложка
malíř	художник
manžel	муж
máslo	масло
matka	мать
med	мёд
měkký	мягкий
meloun	дыня
meruňka	абрикос
měsíc	месяц
místo	место
mrkev	морковь
na jaře	весной
na podzim	осенью
nízký	низкий
noviny	газета
nudle	лапша
nůž	нож
obtížný	тяжёлый, трудный
obývací pokoj	зал
odkud	откуда
okurka	огурец
olej	растительное масло
ořech	орех
otec	отец
park	парк
patro	этаж
pepř	горький перец
pes	собака
pod	под
podlaha	пол
podšálek	блюдце
pohovka	диван
policie	полиция
polštář	подушка
pomalu	медленно
pomeranč	апельсин
pošta	почта
práce	работа
pracovník	рабочий
přítel	друг
prodavač	продавец
pták	птица
rajče	помидор
řepa	свекла
řidič	водитель
říjen	октябрь
rodiče	родители
rozzlobený	сердитый
ryba	рыба
rychle	быстро
šachy	шахматы
šálek	чашка
šaty	платье
sendvič	бутерброд
sestra	сестра
sestřenice	двоюродная сестра
sklenice	стакан
sladkost	конфета, сладость
snídaně	завтрак
sodovka	газировка
sprcha	душ
srpen	август
strop	потолок
strýc	дядя
sůl	соль
syn	сын
sýr	сыр
talíř	тарелка
tchán	тесть (свекор)
tchyně	теща (свекровь)
televizor	телевизор
teta	тетя
toaleta	туалет
trh	рынок
tvrdý	твёрдый
ubrousek	салфетка
účetní	бухгалтер
únor	февраль
včera	вчера
večeře	ужин
vejce	яйцо
vidlička	вилка
vodní meloun	арбуз
volný	свободный
zahrada	сад
zákusek	пирожное
zdravotní sestra	медсестра
zelí	капуста
zima	зима
zrcadlo	зеркало
zvíře	животное
