doen	to do
beginnen	to begin
geloven	to believe
brengen	to bring
halen	to pick up
lenen	to borrow
bellen	to call
kunnen	to can
sluiten	to close
snijden	to cut
beslissen	to decide
vallen	to fall
voelen	to feel, to touch
volgen	to follow
gebeuren	to happen
houden	to keep, to hold
houden van	to love
weten	to know facts
kennen	to know people
leuk vinden	to like
laten	to let
verliezen	to lose
winnen	to win
maken	to make
Ik weet hoe je het Nederlandse alfabet moet opzeggen	I know how to say the Dutch alphabet out loud
Ik ken het Nederlandse alfabet uit mijn hoofd	I know the Dutch alphabet by heart
laatst	last
welkom	welcome
thuis	at home
het gras	the grass
de boom	the tree
eigen	own (adj)
mijn	my
jouw	your (informal singular)
jullie	your (informal plural)
haar	her
zijn	his
ons	our (+het)
onze	our (+de)
uw	your (formal)
hun	their
geen	no, none (+smth)
als	if
het verschil	the difference
iemand	somebody
iedereen	everybody
samen	together
dichtbij	nearby
vaak	often
de grap	the joke
het idee	the idea
het geluid	the sound
de muziek	the music
het nummer	the number / the song
de naam	the name
het boek	the book
de les	the lesson
het woord	the word
de achternaam	surname
de leeftijd	the age
het geslacht	the sex, gender
de geboortedatum	the date of birth
het woonadres	the home address
het geboorteland	the country of origin
het huisnummer	the house number
het postnummer	the postcode
