solliciteren	to apply for
de sollicitatie	the application
de vacature	the vacancy
de advertentie	the advertisement
het werk	the work
de baan	the job
veranderen	to change
de brief	the letter
de sollicitatiebrief	the application letter
het cv	the resume
de opleiding	the education
de ervaring	the experience
het gesprek	the conversation, the interview
het sollicitatiegesprek	the job interview
het bedrijf	the company
de zaak	the case, the business
het salaris	the salary
bruto	gross
netto	net
de belasting	the tax
het vakantiegeld	the vacation bonus
de auto van de zaak	the company car
het pensioen	the pension
de reiskosten	the travel expenses
de vergoeding	the compensation
de reiskostenvergoeding	the compensation for travel expenses
de collega	the colleague
aannemen	to hire (staff)
ontslaan	to fire
nodig hebben	to need
vinden	to find, to think (have an opinion)
bedoelen	to mean
bewegen	to move
nemen	to take
komen	to come
willen	to want
gebruiken	to use
geven	to give
vertellen	to tell
proberen	to try
lijken	to seem
laten zien	to show
spelen	to play
zitten	to sit
staan	to stand
betalen	to pay
ontmoeten	to meet
doorgaan	to continue
uitgeven	to spend
groeien	to grow
aanbieden	to offer
herinneren	to remember
overwegen	to consider
bouwen	to build
blijven	to stay
