het feest	the party
vieren	to celebrate
de feestdag	the public holiday
de vrije dag	the day off
Koningsdag	King’s Day
ontvangen	to receive
de geboorte	the birth
de bruiloft	the wedding
de verjaardag	the birthday
de taart	the pie
de kaars	the candle
verrassen	to surprise
het cadeau	the present
Pasen	Easter
de paashaas	the Easter bunny
het paasei	the Easter egg
uitnodigen	to invite
het bezoek	the visit
Zwarte Piet	Black Pete
de zak	the bag
Kerstmis	Christmas
de kerstboom	the Christmas tree
de kerstman	Santa Claus
Oudjaar	New year’s eve
de oliebol	Dutch fritter with raisins
Nieuwjaar	New year
het beest	the animal, the beast
de schildpad	the turtle
de hamster	the hamster
de goudvis	the goldfish
het schaap	the sheep
de geit	the goat
de vos	the fox
wild	wild
de mier	the ant
de mug	the mosquito
de kikker	the frog
de slak	the snail
de eekhoorn	the squirrel
de dolfijn	the dolphin
de zeehond	the seal
de walvis	the whale
de haai	the shark
de dierentuin	the zoo
de aap	the monkey
de olifant	the elephant
de beer	the bear
de wolf	the wolf
de giraffe	the giraffe
de slang	the snake
de krokodil	the crocodile
de kameel	the camel
de tijger	the tiger
de leeuw	the lion
