het is belangrijk	it is important
kunnen	to be able to / can
moeten	to have to / must
praten	to talk / to speak
geloven	to believe
denken	to think
blijven	to stay / to remain
volgen	to follow
studeren	to study
beslissen	to decide
houden	to hold
dragen	to carry / to wear
tekenen	to draw
voelen	to feel
vertellen	to tell
staan	to stand
herinneren	to remember
vasthouden	to hold / to hold onto
houden van	to love
lachen	to laugh
openen	to open
leren	to learn
de wereld	the world
de plek	the place
de zee	the sea
het bos	the forest
de berg	the mountain
de auto	the car
het vliegtuig	the plane
de taxi	the taxi / the cab
de weg	the road
de moeder	the mother
de vader	the father
mama	mom
papa	dad
de vrouw	the woman / the wife
de man	the man / the husband
de broer	the brother
de zus	the sister
de familie	the family
de vriend	the friend / the boyfriend
de vriendin	the friend / the girlfriend
de zoon	the son
de dochter	the daughter
het hoofd	the head
het oog	the eye
de ogen	the eyes
de mond	the mouth
de neus	the nose
het oor	the ear
het haar	the hair
de arm	the arm
de hand	the hand
de tafel	the table
het bord	the plate
het glas	the glass
de koffie	the coffee
de student	the student
de school	the school
de dokter	the doctor
de verkoper	the salesman
de docent	the teacher
anders	different
alleen	only / alone / lonely
mooi	handsome / beautiful / nice / good
lelijk	ugly
sterk	strong
aardig	nice / kind
gek	crazy
blij	glad / happy
ziek	sick / ill
belangrijk	important
zoet	sweet
zout	salty
lekker	delicious / tasty
straks	later
nu	now
snel	soon
volgende week	next week
nooit	never
te veel	too much
vaak	often
altijd	always
misschien	maybe
ook	as well / too / also
hier	here
daar	there
overal	everywhere
nergens	nowhere
ergens	somewhere
goed	well
slecht	badly / poorly
snel	quickly
echt	truly / really
heel	very
redelijk	quite
veel	many / much / a lot
genoeg	enough
beetje	little / few
wat	some / somewhat
meer	more
minder	less
dit	this
deze	this / these
dat	that
die	that / those
wie	who
Wie is daar?	Who is There?
waar	where
Waar ben je?	Where Are You?
wanneer	when
Wanneer ben je geboren?	When Were You Born?
wat	what
Wat doen we vanavond?	What Are We Doing Tonight?
waarom	why
Waarom lach je?	Why Are You Laughing?
alles	everything
niets	nothing
iets	something
iedereen	everybody
niemand	nobody
iemand	somebody
een kat en een hond	a cat and a dog
als	if
omdat	because
maar	but
door	by / through
aangenaam	приятно познакомиться
