aangenaam	приятно познакомиться
aardig	nice / kind (about human)
ander	other
beetje	little / few
behalve	except
beneden	down, downstairs
beschikbaar	available
bijna	almost
bitter	bitter
de abrikoos	the apricot
de bank	the couch, sofa
de bes	the berry
de bitterballen	Dutch fried ragout ball
de boon	the bean
de boterham	the slice of bread
de douche	the shower
de fles	the bottle
de friet	the French fries
de frikandel	Dutch meat sausage
de geboortedatum	the date of birth
de koffie	the coffee
de kroket	Dutch fried ragout bar
de leeftijd	the age
de maaltijd	the meal
de maand	the month
de man	the man / the husband
de mond	the mouth
de muziek	the music
de ochtend	the morning
de ogen	the eyes
de pannenkoek	the pancake
de rondvaart	the canal cruise
de rook	the smoke
de sinaasappel	the orange
de stad	the city
de storm	the storm
de suiker	the sugar
de tafel	the table
de universiteit	the university
de vraag	the question
de vrouw	the woman / the wife
de wind	the wind
de woning	the living place (residence)
denken	to think
dichtbij	nearby
die	that / those
dit	this
doei	bye
duizend	thousand
dus	so (than)
een beetje	a bit of ( + uncountable)
eerst	first
eet smakelijk	enjoy your meal
eigen	own (adj)
elk	each
enige	(my/the) only (+smth)
enkele	few, some
erg	very
ergens	somewhere
even	just (for a short amount of time)
geen	no, none (+smth)
geven	to give
gewoon	just (as usual), simply, ordinary
gisteren	yesterday
goedemiddag	добрый день
goedenavond	добрый вечер
goedkoop	cheap
groot	large / big / tall / great / major
half een	half past twelve
het bad	the bath tub
het bier	the beer
het brood	the bread
het ei	the egg
het geluid	the sound
het gerecht	the dish
het grachtenpand	the canal house
het huis	the house
het meisje	the girl
het midden	the middle
het museum	the museum
het scherm	the screen
het uur	the hour
het vlees	the meat
het vliegtuig	the airplane
het zout	the salt
hier	here
Hoe laat is het?	What time is it?
horen	to hear
houden van	to love
ik	I
interessant	interesting
jij	ты
juist	correct
jullie	вы
kijken naar	to watch
klein	small / little
koken	to cook
komen	to come
kunnen	to be able to / can
kwart over drie	quarter past three
laatst	last / final / latest
lief	lovely, sweet
luisteren	to listen
maandag	Monday
maar	only (+countable)
meer	more
mei	May
miljoen	million
misschien	maybe
na	after
naar	to
negen	nine
net	just (a moment ago, только что)
niet	not
nog	still, (+not) yet
nul appels	zero apples
overal	everywhere
pas	just (a small time ago)
plat	flat
rijk	rich
s middags	in the afternoon
slechtst	worst
sneeuwen	to snow
soms	sometimes
straks	later
terug	back
terwijl	while
tweehonderd	two hundred
veel	many / much / a lot
veertien	fourteen
veertig	forty
verkeerd	wrong, incorrect
vies	dirty, disgusting
vijf over half vier	twenty five to four
voor	before, in front of
vriezen	to freeze
Wanneer ben je geboren?	When Were You Born?
wat	some / somewhat
week	week
weggaan	to leave
weten	to know facts
zacht	soft
zelfde	same
zijn	his
zoeken	to look for / to search
zoet	sweet
