aanzetten	to turn on
de bakker	the baker
de cultuur	the culture
de doos	the box
de plank	the shelf
de sleutel	the key
de snoepjes	the candy
de tomaat	the tomato
de wasmachine	the washing machine
de werkdag	the werking day
de werkweek	the werking week
delen	to share
haar	her
hem	him
hen	them
het computersysteem	the computer system
het programma	the program
het verleden	the past
hun	them, their
koken	to cook
lachen	to laugh
leggen	to put
lijst	list
maken	to make
mij	me
netjes	decent(ly)
omdraaien	to turn
pakken	to get
poetsen	to clean
reizen	to travel
rennen	to run
roepen	to call
spelen	to play
tweehonderdzevenenveertig	247
uitdoen	to turn off
veranderen	to change
verbeteren	to improve
vervolgens	afterwards
volgen	to follow
zeggen	to say
zich aankleden	to get dressed
aanbieden	to offer
afspreken	to meet
daarna	afterwards
de liefde	the love
de relatie	the relationship
de slagroom	the whipped cream
de stadswandeling	the city walk
de taart	the cake
de verjaardag	the birthday
de verkering	the dating
flirten	to flirt
het afspraakje	the date of appointment
het doel	the objective
het kaarslicht	the candlelight
houden van	to love
knap	pretty, handsome
leuk vinden	to like
raden	guess
schatje	darling
simpel	simple
tijd doorbrengen	to spend time
tweehonderdachtenveertig	248
tweehonderdnegenenveertig	249
verhuizen	to move
verliefd worden	to fall in love
vertellen	to telt
zich concentreren	to focus
