aanbieden	to offer
aanzetten	to turn on
afspreken	to make an appointment
daarna	afterwards (1)
de bakker	the baker
de cultuur	the culture
de doos	the box
de liefde	the love
de plank	the shelf
de relatie	the relationship
de schat	the darling
de slagroom	the whipped cream
de sleutel	the key
de snoepjes	the candy
de stadswandeling	the city walk
de taart	the cake
de tomaat	the tomato
de verjaardag	the birthday
de verkering	the dating
de wasmachine	the washing machine
de werkdag	the werking day
de werkweek	the werking week
delen	to share
flirten	to flirt
haar	her
hem	him
hen	them
het afspraakje	the date of appointment
het computersysteem	the computer system
het doel	the objective
het kaarslicht	the candlelight
het programma	the program
het verleden	the past
houden van	to love
hun	them, their
knap	pretty, handsome
koken	to cook
lachen	to laugh
zetten	to put vertically (1)
leggen	to put horizontally (2)
doen	to put (3, very general)
stoppen	to put smth in pocket, wallet (4)
leuk vinden	to like
lijst	list
maken	to make
mij	me
netjes	decent(ly)
omdraaien	to turn (2)
pakken	to pack, to get smth
poetsen	to polish, clean
raden	to guess
reizen	to travel
rennen	to run (2)
roepen	to call (2)
simpel	simple
spelen	to play
tijd doorbrengen	to spend time
tweehonderdachtenveertig	248
tweehonderdnegenenveertig	249
tweehonderdzevenenveertig	247
uitdoen	to turn off
veranderen	to change
verbeteren	to improve
verhuizen	to relocate
verliefd worden	to fall in love
vertellen	to tell
vervolgens	afterwards (2)
volgen	to follow
zeggen	to say
zich concentreren	to focus
