afspreken	to make an appointment
allebei	both (2)
allemaal	everyone (2)
alsjeblieft	please
bedankt	thanks
binnen	within
bowlen	to bowl
brengen	to take, to bring
dat klopt	that's right
de agenda	the diary
de barbecue	the barbecue
de chocomel	the chocolate milk (2)
de dierenartsenpraktijk	the veterinary clinic
de fietsenverkoper	the bicycle salesman
de fietsenwinkel	the bicycle shop
de herenfiets	the men's bicycle
de kast	the closet
de kookles	the cooking class
de pinpas	the debit card
de rekening	the bill
de remmen	the brakes
de stadsfiets	the city bike
de trein	the train
de uitleg	the explanation (2)
de Verenigde Staten	the United States
de verklaring	the explanation (1)
de versnelling	the gear
de vertraging	the delay
de voetbalwedstrijd	the soccer match
de waarde	the value
dinsdagavond	Tuesday evening
donderdagavond	Thursday evening
doordeweeks	during the week
duren	to last, to take
eindigen	to end
elektrisch	electric
eruitzien	to look (2)
even	for a moment
geboren	born
gedurende	during (1)
gefeliciteerd	congratulations
geweldig	fantastic
handig	handy
heel	very (1)
helemaal	completely, totally
het alternatief	the alternative
het assortiment	the assortment
het ding	the thing
het etentje	the meal, dinner
het hoofd	the head
het kwartiertje	the quarter of an hour
het land	the country
het park	the park
het probleem	the problem
het restaurant	the restaurant
het seizoen	the season
het station	the station
het uur	the hour
het vierkant	the square
het vliegtuig	the plane, aircraft
het voorbeeld	the example
het werkfeest	the office party
horen	to hear
iedereen	everyone (1)
inderdaad	indeed
internationaal	international
kamperen	camping
kapot	broken
klinken	to sound
kunnen	can
liever	rather
lijken	to seem, to appear
lukken	to work, succed
maandagavond	Monday evening
minimaal	minimum
misschien	perhaps
natuurlijk	of course
Nederlanders	Dutch people
niemand	nobody
omdat	because
ongeveer	about
ontdekken	to discover
onze	the our (de)
ons	the our (het)
ophalen	to pick up
overmorgen	the day after tomorrow
passend	suitable
populair	popular
regelmatig	regularly
repareren	to repair
reserveren	to make a reservation
rond	around
schoonmaken	to clean
sluiten	to close
snappen	to understand (2)
sportief	sporty
tevreden	satisfied
tweedehands	second-hand
tweehonderdvijfendertig	235
tweehonderdzesendertig	236
uit je hoofd leren	to learn by heart
uitnodigen	to invite
vanaf	from (2)
verkopen	to sell
vertrekken	to leave
vieren	to celebrate
vliegen	to fly
warm	warm
zo snel mogelijk	as soon as possible
zullen	will, shall
