aanbevelen	to recommend
aandoen	to put on smth around the body (sweater, suit)
aanhebben	to have smth on you
aankleden	to get dressed
aantrekken	to pull on to you with pulling motion (pants, socks)
arm	poor
atletisch	athletic
best klein	quite small
binnenkort	soon
blauw	blue
blond	blonde
bruin	brown
de accessoires	the accessories
de armband	the bracelet
de bh	the bra
de bikini	the bikini
de blouse	the blouse
de bril	the glasses
de broek	the pants
de dochter	the daughter
de dorst	the thirst
de echtgenote	the wife
de familie	the family (all relatives)
de gracht	the canal
de hamburger	the hamburger
de handschoen	the glove
de hoed	the hat
de hond	the dog
de honger	the hunger, appetite
de jas	the jacket
de joggingbroek	the sweatpants
de jurk	the dress
de ketting	the necklace
de kleding	the clothing
de kledingstijl	the clothing style
de kwaliteit	the quality
de laars	the boot
de lengte	the height
de moeder	the mother
de muts	the winter hat
de neef	the nephew, male cousin
de nicht	the niece, female cousin
de oma	the grandmother
de oom	the uncle
de oorbel	the earring
de pet	the cap
de piano	the piano
de pyjama	the pajamas
de riem	the belt
de rok	the skirt
de rondvaart	the cruise
de rugzak	the backpack
de schoonmoeder	the mother-in-law
de schoonvader	the father-in-law
de schoonzus	the sister-in-law
de sfeer	the atmosphere
de sjaal	the scarf
de sok	the soek
de spijkerbroek	the jeans
de sportschoen	the sneaker
de stamboom	the family tree
de straat	the street
de stropdas	the tie
de tante	the aunt
de tas	the bag
de tegenstelling	the opposite
de trui	the sweater
de vader	the father
de veiligheid	the safety
de vergelijking	the comparison
de vlucht	the flight
de zoon	the son
de zwager	the brother-in-law
de zwembroek	the swim shorts
discussiëren	to discuss
donkergrijs	dark gray
dragen	to wear
drukte	bustle
dun	thin
elegant	elegant
eruitzien	to look (2)
favoriet	favorite
grijs	gray
groen	green
het achterkleinkind	the great-grandchild
het familielid	the family member
het familieverhaal	the family story
het gezin	the family (hus+wife+children)
het hemd	the undershirt
het horloge	the watch
het kleinkind	the grandchild
de muur	the wall
het nadeel	the disadvantage
het ondergoed	the underwear
het overhemd	the shirt
het pak	the suit
het politiebureau	the police station
het T-shirt	the T-shirt
het uiterlijk	the appearance
het vest	the cardigan
het vliegveld	the airport
de zus	the sister
het zwempak	the bathing suit
houden van	to love
huilen	to cry
Japans	Japanese
knuffelen	to cuddle
kort	short
laag	low
lawaai	noise
leuk vinden	to like
missen	to miss
moeten	must, should, to have to
omkleden	to change clothes
praten	to talk
rood	red
smal	narrow
Spanje	Spain
steeds	always (2)
stevig	firm, solid
stijlvol	styllsh
stilte	silence
tennissen	to play tennis
tweehonderdeenenveertig	241
tweehonderdtweeënveertig	242
uitdoen	to take off smth that is around part of your body (sweater, suit). 
uitkleden	to undress
uittrekken	to take off smth with (un)pulling motion (pants, socks)
verloofd	engaged
vrouwelijk	feminine
werkloos	unemployed
winkelen	to go shopping
zo'n	such a
zwaaien	to wave
zwanger	pregnant
zwart	black
