er	there
wel	(approx.) rather
toch	yet
mogen	to be allowed
weer	again
de tijd	time
af	off
liggen	to lie
eens	once, (not) even
zoals	as
mee	with
want	because
toe	towards
de keer	time, occasion
volgens	according to
vooral	especially
zelfs	even
stellen	to put
tijdens	during
steeds	always
vorig	previous
blijken	to prove
toen	then
weinig	little, few
elkaar	each other
het kind	child
het leven	life
bestaan	to exist
het aantal	number
het deel	part
het probleem	problem
per	by, per
geleden	ago
nodig	necessary
allemaal	all
helemaal	completely
men	one, you
het geval	case
vanaf	from
weg	gone
eigenlijk	actually
eerder	sooner
het paar	couple
hen	them
het moment	time, moment
de manier	way
opnieuw	again
de groep	group
ver	far
het stuk	piece
de kans	chance
leggen	to put
waarin	wherein
vast	fixed, certain
bijvoorbeeld	for example
zorgen	to provide
meteen	immediately
bovendien	also
graag	gladly, with pleasure
hopen	to hope
