afgelopen	last (2)
betekenen	to mean (2)
daarmee	with it
daarna	afterwards
de dienst	service
de foto	photo
de kant	side
de meter	metre
de partij	party (political)
de politie	police
de prijs	price
de punt	a) full stop b) item c) point
de reden	reason
de rest	rest
de rol	role
de soort	kind of
de staat	state
de titel	title
de vorm	form
de zin	a) sentence b) sense
ervan	of it
extra	additional
half	half
hangen	to hang
het artikel	a) article b) product, object
het feit	fact
het gevolg	result
het lid	member
het plan	plan
het verhaal	story
hoeven	to need to do smth. (not required)
ieder	each (formal)
inderdaad	indeed
langs	along, alongside (pred., int the past)
leven	to live
leveren	to supply
nadat	after (2)
ongeveer	about
pakken	to paste
raken	to touch, to hit
reageren	to react
ruim	spacious
slaan	to hit
sommige	some
steken	a) to stab b) to put
stoppen	to stop
trouwens	moreover, besides, by the way
uiteindelijk	final (adj.)
verschillend	different (adj.)
voeren	to carry out
volledig	fully, complete
voorbij	past
waarbij	in which
waarop	on which
waarvan	whose
welk	which
zodat	so that
zowel ... als ...	both ... and ...
