bepaald	certain
bepalen	to determine
bereiken	to reach
besluiten	to decide (2)
daarbij	with it, besides
daardoor	thereby, thus
daarvoor	before that (adv.)
de aandacht	the attention
de dood	the death
de grond	the ground
de helft	the half
de kilometer	the kilometre
de ouder	the parent
de periode	the period
de persoon	the person
de richting	the direction
de situatie	the situation
de stem	the a) voice b) vote
dienen	to serve as
duren	to last
enorm	enormous
Frans	French
gelden	to apply
het beeld	the statue
het belang	the importance
het gebied	the area
het gebruik	the use
het gevoel	the feeling
het programma	the program
het resultaat	the result (2)
het succes	the success
het voorbeeld	the example
het weekend	the weekend
heten	to be named, called
hoewel	although (2)
klinken	to sound
merken	to notice
missen	to miss, to lack
ondanks	despite
ontstaan	to arise
opzetten	to set up
organiseren	to organize
passen	to suit, fit
persoonlijk	personal
plaatsen	to place (2)
roepen	to call (2)
slagen	to succeed (1)
sturen	to send
terecht	fair, justly, deserved
totaal	total
verdienen	to earn
verdwijnen	to disappear
verklaren	to explain (2)
verschijnen	to appear
voorkomen	to prevent
vormen	to form
waardoor	whereby, as a result of which
waarmee	with which
wijzen	to point
zich richten	to focus
