absoluut	absolute
betreffen	to concern
betrekken	to involve
bewijzen	to prove
blijkbaar	apparently
breken	to break
daarvan	thereof, from that
de band	the bond
de bedoeling	the intention
de buurt	the neighbourhood
de eeuw	the century
de film	the film
de geschiedenis	the history
de hoogte	the height
de informatie	the information
de kaart	the map
de keuze	the choice
de lijst	the list
de mogelijkheid	the possibility
de politiek	the politics
de reactie	the reaction
de rekening	the bill
de ruimte	the space
de stap	the step
de waarde	the value
dicht	closed
diep	deep
Duits	German
durven	to dare
erop	on it (adv.)
geboren	born
geraken	to get somewhere in time
het centrum	the centre
het contact	the contact
het publiek	the public
het slachtoffer	the victim
inmiddels	meanwhile
kloppen	to knock, to beat
liever ... dan ...	rather ... than ...
lukken	to succeed (2)
melden	to report
namelijk	namely
nauwelijks	hardly
nogal	rather (2)
officieel	official
ondertussen	meantime
opnemen	to record
overigens	moreover
overlijden	to die
rekenen	to count
schieten	to shoot
stijgen	to rise
tegenover	opposite, against
vervolgens	then, subsequently (adv.)
voorlopig	provisional
voorstellen	to propose
vreemd	strange, foreign
wellicht	perhaps, maybe (2)
