aanwezig	present (adj.)
allerlei	all kinds of
beseffen	to realize
daarin	therein
daarop	thereon
dagelijks	daily
de beslissing	the decision
de gang	the corridor
de grens	the border
de hoop	the a) hope b) pile
de hulp	the help
de indruk	the impression
de last	the load
de lijn	the line
de mama	the mummy
de mening	the opinion
de moeite	the difficulty
de omgeving	the environment, surroundings
de opdracht	the task
de oplossing	the solution
de orde	the order (2)
de relatie	the relation
de slag	the blow
de stand	the a) position b) score
de top	the top
de wet	the law
de wijze	the way
de zorg	the a) care b) worry
dergelijk	such (adj.)
dreigen	to threaten
eindigen	to end
ernstig	serious (2)
ervoor	ensure
flink	significant
gooien	to throw
het beroep	the profession
het gezin	the family (1)
het middel	the means
het spel	the game
het verleden	the past
het voordeel	the advantage
keren	to turn
kwijt	lost
los	loose
menen	to believe, to think
onderzoeken	to investigate
onmiddellijk	immediate
overtuigen	to convince
regelen	to regulate, to arrange
regelmatig	regular
rustig	quiet
sterven	to expire
tegenwoordig	nowadays
telkens	each time
treffen	to hit, to strike
uiteraard	of course, naturally (2)
vanwege	because of
voldoende	sufficient
voorzien	to provide
vrezen	to fear
