afsluiten	to close
alweer	again (3)
bedenken	to think up
beloven	to promise
bewust	conscious, aware
bezoeken	to visit
controleren	to check
danken	to thank, to owe
de aanleiding	the reason, occasion
de afstand	the distance
de bal	the ball
de beweging	the movement
de boodschap	the purchase, shopping
de gast	the guest
de gedachte	the thought
de god	the god
de invloed	the influence
de kwestie	the question, issue
de liefde	the love
de muur	the wall
de positie	the position
de rij	the row
de schuld	the a) debt b) blame
de sfeer	the atmosphere
de studie	the study
de taak	the task (2)
degelijk	sound (adj.)
doordat	because (3)
drukken	to print
eerlijk	honest, fair
Engels	English
erin	in it
grijpen	to grab
helaas	unfortunately
het bureau	the desk
het onderwerp	the topic
het terrein	the area, field, ground
het tiental	the ten
het voorstel	the proposal
jammer	unfortunate, sad, too bad (adj.)
modern	modern
optreden	to appear (2)
perfect	perfect
prachtig	wonderful (2)
schuiven	to push, to pull
springen	to jump
stemmen	to vote
stevig	firm (2, adj.)
tegelijk	at the same time
trouwen	to marry
verbinden	a) to link b) to bandage
verlopen	to expire (2)
verplichten	to oblige
vlak	planar, flat
vliegen	to fly
vullen	to fill
wensen	to wish
zomaar	simply, easily
zulk	such (3)
