aankomen	to arrive
achteraf	afterwards (2)
apart	separate
behandelen	to treat
besteden	to spend
bewaren	to keep
daarover	about it
de achtergrond	the background
de behoefte	the need
de beurt	the turn
de dame	the lady
de figuur	the figure
de gelegenheid	the opportunity
de inhoud	the content
de kosten	the costs
de loop	the course (direction)
de maat	the size (2)
de opmerking	the remark
de plaat	the a) record b) plate
de radio	the radio
de rand	the edge
de ruzie	the quarrel
de toestand	the state (2)
de verandering	the change
de zon	the sun
fout	wrong (2)
gezellig	enjoyable, cosy
herhalen	to repeat
herkennen	to recognize
het begrip	the understanding
het blad	the a) journal, magazine b) leaf
het lied	the song
het opzicht	the regard
het plezier	the pleasure
het teken	the sign
het type	the type
het verband	the a) link b) bandage
ineens	suddenly
knap	a) good-looking b) smart, clever, able
lastig	difficult (2)
lijden	to suffer
meemaken	to experience
min	minus
mis	wrong (3)
nadenken	to reflect on, think
onmogelijk	impossible
oplossen	to solve
opstellen	to draw up
opvallen	to strike, to catch the eye
overkomen	to happen to
raar	strange
realiseren	to realize
simpel	simple
tegelijkertijd	at the same time
tenminste	at least (2)
toevallig	accidental
twijfelen	to doubt
uitkomen	to come out
vandaar	hence
verdelen	to divide
verzamelen	to collect
voordat	before (2, conj.)
waard	worth
waarvoor	what for
zover	so far
