het doel	the goal
het elftal	the football team
het voetbal	the football
oranje	the dutch football team
de spits	the striker
de middenvelder	the midfielder
de verdediger	the defender
de keeper	the goalkeeper
de scheidsrechter	the referee
de supporter	the fan
de twaalfde man	the fans
de eerste helft	the first half
de rust	half time
de tweede helft	the second half
schoppen	to kick
het schot	the shot
de redding	the save
redden	to save
de voorzet	the assist
de gele kaart	the yellow card
de rode kaart	the red card
de vrije trap	the free kick
de strafschop	the penalty
de hoekschop	the corner kick
buitenspel	offside (adv)
de kampioen	the champion
het europees kampioenschap	the european championship
het wereldkampioenschap	the world cup
het volkslied	the anthem
de eendracht	the unity, harmony
de macht	the power, force
de beste plek	the best place
tonen	to demonstrate, show, display
vertrouwen	to trust
bouwen	to build
houden voor ogen	to keep in mind
strijden	to fight, battle
de kracht	the force
vooruit	forward (adv)
bovenaan	at the top (adv)
de tekst	the text
de tegenslag	the setback, misfortune
de vriendschap	the friendship

