que	что
eu	я
não	не
de	(предлог)
você	ты
para	для
ele	он
se	если
é	быть
um	неопр. артикль
sim	да
por	для
isso	этот
em	на
uma	неопр. артикль жен. род
está	быть
como	как
com	с
bem	хорошо
na	em + a
me	меня
mas	но
do	de + o
era	Я был, Эра(эпоха)
quando	когда
então	итак
tudo	все
aqui	здесь
disse	сказал
estava	я был
lá	там
fazer	делать
vai	ты пойдешь
sobre	"о (в смысле ""о чём-то"")"
vamos	мы идём(ходим)
homem	мужчина
bom	хорошо
ok	ок
agora	сейчас
coisa	вещь
quero	хочу
foi	был
meu	мой
seu	твой
só	только
eles	они
as	множ. артикль жен. рода
posso	могу
estou	быть, нахожусь
mais	но
mim	мой
certo	правильно
dizer	сказать
os	опред. множ. муж. артикль
no	em + o
sei	знаю
ela	она
vocês	вы
sua	твоя
todos	все множ. число (все дни,todos dias)
porra	бля (синонимы: merda, caralho)
sabe	знаешь
minha	моя жен. род
alguma	кое-какая
casa	дом
muito	много
oh	ох
qualquer	что-нибудь (любой)
da	de жен. род
estamos	мы есть
até	до
onde	где
ao	a + o
tenho	я имею
nós	мы
tem	у тебя
tinha	я имел
quê	por quê - почему
ir	идти
ou	или
pode	можешь
quer	ты хочешь
vou	пойду
seus	ваши
dia	день
estão	они есть
nos	em + os, самих
cabeça	голова
quem	кто
anos	годы
depois	после
sou	я есть
vez	раз
vá	иди
fez	сделал
irmão	брат
câmera	камера
